"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"217";"Транспортно-пересадочный узел «Площадь Ильича» (п)";"1770035";"Центральный административный округ";"Таганский район";"станция метро «Площадь Ильича», платформа «Площадь Ильича»";"2020";"проект";"метро; пригородная железная дорога";"";"{type=Point, coordinates=[37.680626999899, 55.746568999972]}";
"218";"Транспортно-пересадочный узел «Авиамоторная» (к)";"1770036";"Юго-Восточный административный округ";"район Лефортово";"станция метро «Авиамоторная»";"2019";"проект";"Метро; перехватывающая парковка; станция железной дороги";"290";"{type=Point, coordinates=[37.717212999987, 55.751630999933]}";
"219";"Транспортно-пересадочный узел «Петровско-Разумовская» (к)";"1770037";"Северный административный округ";"Тимирязевский район";"станция метро «Петровско-Разумовская»";"2018";"проект";"Метро; перехватывающая парковка; станция железной дороги";"210";"{type=Point, coordinates=[37.575098000293, 55.836431999998]}";
"220";"Транспортно-пересадочный узел «Царицыно» (к)";"1770038";"Южный административный округ";"район Царицыно";"станция метро «Царицыно»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"470";"{type=Point, coordinates=[37.668847999738, 55.621540999768]}";
"221";"Транспортно-пересадочный узел «Текстильщики» (к)";"1770039";"Юго-Восточный административный округ";"район Текстильщики";"станция метро «Текстильщики»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"250";"{type=Point, coordinates=[37.730901999902, 55.709227999986]}";
"222";"Транспортно-пересадочный узел «Сходненская» (п)";"1770040";"Северо-Западный административный округ";"район Северное Тушино";"станция метро «Сходненская»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.439609000186, 55.850693000199]}";
"223";"Транспортно-пересадочный узел «Бабушкинская» (п)";"1770041";"Северо-Восточный административный округ";"Бабушкинский район";"станция метро «Бабушкинская»";"2020";"проект";"метро; перехватывающая парковка";"380";"{type=Point, coordinates=[37.664383999799, 55.869714999901]}";
"224";"Транспортно-пересадочный узел «Красногвардейская» (п)";"1770042";"Южный административный округ";"район Зябликово";"станция метро «Красногвардейская»";"2020";"проект";"Метро; перехватывающая парковка; автовокзал";"140";"{type=Point, coordinates=[37.744060000263, 55.613700999913]}";
"225";"Транспортно-пересадочный узел «Тимирязевская» (к)";"1770043";"Северный административный округ";"Тимирязевский район";"станция метро «Тимирязевская»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"350";"{type=Point, coordinates=[37.575908000405, 55.819162999754]}";
"226";"Транспортно-пересадочный узел «Молодежная» (к)";"1770044";"Западный административный округ";"район Кунцево";"станция метро «Молодёжная»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.41591500032, 55.740785999995]}";
"227";"Транспортно-пересадочный узел «Теплый Стан» (к)";"1770045";"Юго-Западный административный округ";"район Ясенево";"станция метро «Тёплый Стан»";"2020";"проект";"Метро; перехватывающая парковка; автовокзал";"210";"{type=Point, coordinates=[37.505912000204, 55.618729999756]}";
"229";"Транспортно-пересадочный узел «Щукинская» (к)";"1770047";"Северо-Западный административный округ";"район Щукино";"станция метро «Щукинская»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.464420000311, 55.808646000115]}";
"230";"Транспортно-пересадочный узел «Электрозаводская» (к)";"1770048";"Восточный административный округ";"район Соколиная Гора";"станция метро «Электрозаводская»";"2020";"проект";"Метро; станция железной дороги";"90";"{type=Point, coordinates=[37.705392999818, 55.781283999821]}";
"232";"Транспортно-пересадочный узел «Нагатинская» (к)";"1770049";"Южный административный округ";"Нагорный район";"станция метро «Нагатинская»";"2020";"проект";"Метро; станция железной дороги";"";"{type=Point, coordinates=[37.621773999824, 55.682748000245]}";
"233";"Транспортно-пересадочный узел «Семеновская» (п)";"1770050";"Восточный административный округ";"район Соколиная Гора";"станция метро «Семеновская»";"2020";"проект";"метро; перехватывающая парковка";"100";"{type=Point, coordinates=[37.718859999975, 55.78264399984]}";
"234";"Транспортно-пересадочный узел «Славянский бульвар» (к)";"1770051";"Западный административный округ";"район Фили-Давыдково";"станция метро «Слявянский бульвар»";"2020";"проект";"Метро; перехватывающая парковка";"330";"{type=Point, coordinates=[37.470701000117, 55.729581999999]}";
"235";"Транспортно-пересадочный узел «Дмитровская» (к)";"1770052";"Северный административный округ";"Тимирязевский район";"станция метро «Дмитровская»";"2020";"построен";"Метро; перехватывающая парковка; станция железной дороги";"160";"{type=Point, coordinates=[37.577404999707, 55.808433000007]}";
"236";"Транспортно-пересадочный узел «Кунцевская» (к)";"1770053";"Западный административный округ";"район Кунцево";"станция метро «Кунцевская»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"";"{type=Point, coordinates=[37.443781999871, 55.731074000161]}";
"237";"Транспортно-пересадочный узел «Варшавская» (к)";"1770054";"Южный административный округ";"Нагорный район";"станция метро «Варшавская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"{type=Point, coordinates=[37.619788999727, 55.653694000242]}";
"269";"Транспортно-пересадочный узел «Пионерская» (п)";"1770055";"Западный административный округ";"район Фили-Давыдково";"станция метро «Пионерская»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.467077000428, 55.735925000028]}";
"202";"Транспортно-пересадочный узел «Пятницкое шоссе» (к)";"1770057";"Северо-Западный административный округ";"район Митино";"станция метро «Пятницкое шоссе»";"2018";"проект";"Метро; перехватывающая парковка";"2100";"{type=Point, coordinates=[37.348172999829, 55.861446999884]}";
